sample_id,family,full_total,base_total,full_skipped,base_skipped,full_l1_total,base_l1_total,full_l1_success,base_l1_success,full_l1_brr_ref,base_l1_brr_ref,full_hv_ok,base_hv_ok,full_hv_total,base_hv_total,full_hvr,base_hvr,full_rm_ok,base_rm_ok,full_rm_total,base_rm_total,full_rmr,base_rmr,full_file_hv_ok,base_file_hv_ok,full_file_hv_total,base_file_hv_total,full_file_hvr,base_file_hvr,full_file_rm_ok,base_file_rm_ok,full_file_rm_total,base_file_rm_total,full_file_rmr,base_file_rmr,full_registry_hv_ok,base_registry_hv_ok,full_registry_hv_total,base_registry_hv_total,full_registry_hvr,base_registry_hvr,full_registry_rm_ok,base_registry_rm_ok,full_registry_rm_total,base_registry_rm_total,full_registry_rmr,base_registry_rmr,full_network_winsock_hv_ok,base_network_winsock_hv_ok,full_network_winsock_hv_total,base_network_winsock_hv_total,full_network_winsock_hvr,base_network_winsock_hvr,full_network_winsock_rm_ok,base_network_winsock_rm_ok,full_network_winsock_rm_total,base_network_winsock_rm_total,full_network_winsock_rmr,base_network_winsock_rmr,full_process_hv_ok,base_process_hv_ok,full_process_hv_total,base_process_hv_total,full_process_hvr,base_process_hvr,full_process_rm_ok,base_process_rm_ok,full_process_rm_total,base_process_rm_total,full_process_rmr,base_process_rmr,full_dll_hv_ok,base_dll_hv_ok,full_dll_hv_total,base_dll_hv_total,full_dll_hvr,base_dll_hvr,full_dll_rm_ok,base_dll_rm_ok,full_dll_rm_total,base_dll_rm_total,full_dll_rmr,base_dll_rmr
074dfa8168d74a7af03ded4012ec5fb0d12a03280903bd5c7fde7f842172670e,amadey,838,838,8,42,406,376,249,376,61.33,100.0,1,1,1,1,100.0,100.0,185,0,405,375,45.68,0.0,0,0,0,0,,,38,0,50,50,76.0,0.0,0,0,0,0,,,34,0,221,221,15.38,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,96,0,99,99,96.97,0.0,1,1,1,1,100.0,100.0,12,0,30,0,40.0,
18fd6b193be1d5416a3188f5d9e4047cca719fa067d7d0169cf2df5c7fed54c0,amadey,7475,7475,29,116,2248,2179,1902,2179,84.61,100.0,7,7,7,7,100.0,100.0,1812,6,2241,2172,80.86,0.28,0,0,0,0,,,610,0,656,656,92.99,0.0,0,0,0,0,,,103,0,417,417,24.7,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1072,6,1084,1084,98.89,0.55,7,7,7,7,100.0,100.0,12,0,69,0,17.39,
1984500308101a791019acb978621a31530f8564f4afcfbe43fa22cb68dfd117,amadey,4575,4575,16,162,2311,2193,1682,2193,72.78,100.0,6,1,7,5,85.71,20.0,1527,0,2304,2188,66.28,0.0,2,0,3,1,66.67,0.0,62,0,79,79,78.48,0.0,0,0,0,0,,,832,0,1473,1473,56.48,0.0,0,0,0,0,,,0,0,0,0,,,3,0,3,3,100.0,0.0,562,0,608,608,92.43,0.0,1,1,1,1,100.0,100.0,46,0,116,0,39.66,
30c8c226fbe1ec0bda70541cd36c632e937182e0a55b639c4f26d2340868f481,amadey,6381,6381,11,115,2349,2269,1437,2269,61.17,100.0,1,1,3,1,33.33,100.0,1260,9,2346,2268,53.71,0.4,0,0,2,0,0.0,,130,0,148,148,87.84,0.0,0,0,0,0,,,505,0,1513,1513,33.38,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,555,9,569,568,97.54,1.58,1,1,1,1,100.0,100.0,35,0,77,0,45.45,
44ab913e6708ebdb117d4d0608fd14c7a3b5280db5425b0f4e4d3bdad8654f55,amadey,222,222,7,22,100,86,76,86,76.0,100.0,1,1,1,1,100.0,100.0,77,0,99,85,77.78,0.0,0,0,0,0,,,40,0,45,45,88.89,0.0,0,0,0,0,,,14,0,19,19,73.68,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,15,0,17,17,88.24,0.0,1,1,1,1,100.0,100.0,4,0,14,0,28.57,
4e4eed16b3a6b4c9f1168745b8268765a9b7a0b5c557cc7e2975c24940eed32d,amadey,233,233,8,23,110,96,86,96,78.18,100.0,1,1,1,1,100.0,100.0,87,0,109,95,79.82,0.0,0,0,0,0,,,49,0,54,54,90.74,0.0,0,0,0,0,,,14,0,19,19,73.68,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,16,0,18,18,88.89,0.0,1,1,1,1,100.0,100.0,4,0,14,0,28.57,
6932aa2b259a43e44dd5ba561ff61db50480ae95aa6fbab7d875e411fd74befc,amadey,10615,10615,91,378,6582,6312,4401,6312,66.86,100.0,10,7,10,10,100.0,70.0,4274,142,6572,6302,65.03,2.25,0,0,0,0,,,617,0,693,693,89.03,0.0,0,0,0,0,,,1465,0,3124,3124,46.9,0.0,0,0,0,0,,,0,0,0,0,,,3,0,3,3,100.0,0.0,2042,142,2403,2403,84.98,5.91,7,7,7,7,100.0,100.0,95,0,273,3,34.8,0.0
6db69d1dbd4dbe1108a05955d03052864c7acf3165d0ddbfad7e4156c37a0bd8,amadey,235,235,8,23,112,98,89,98,79.46,100.0,1,1,1,1,100.0,100.0,90,0,111,97,81.08,0.0,0,0,0,0,,,51,0,56,56,91.07,0.0,0,0,0,0,,,15,0,19,19,78.95,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,16,0,18,18,88.89,0.0,1,1,1,1,100.0,100.0,4,0,14,0,28.57,
7095952df050e7b9744fd672e0a3bd68fb3f4327a856972603e545de2649a494,amadey,2151,2151,8,76,1142,1088,799,1088,69.96,100.0,3,1,4,2,75.0,50.0,733,0,1138,1086,64.41,0.0,2,0,3,1,66.67,0.0,48,0,60,60,80.0,0.0,0,0,0,0,,,326,0,672,672,48.51,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,321,0,333,333,96.4,0.0,1,1,1,1,100.0,100.0,20,0,52,0,38.46,
767b03b1909c858a948371ed7791ff0c0629e5e4c7d60f97900b1fc27485103a,amadey,388,388,3,55,48,110,31,110,64.58,100.0,0,0,0,0,,,32,0,48,110,66.67,0.0,0,0,0,0,,,3,0,6,16,50.0,0.0,0,0,0,0,,,6,0,7,18,85.71,0.0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,17,0,20,73,85.0,0.0,0,0,0,0,,,6,0,15,0,40.0,
