family,sha256,total,success,failed,skipped,approx,missing,layer2_executed,layer2_skipped,l1_total,l1_success,l1_brr,l1_coverage_rate,active_asr,success_rate,behavior_match,behavior_match_rate,replay_total,replay_success,replay_failed,replay_skipped,replay_approx,file_total,file_success,file_rate,registry_total,registry_success,registry_rate,network_winsock_total,network_winsock_success,network_winsock_rate,process_total,process_success,process_rate,dll_total,dll_success,dll_rate
agenttesla,0113a0681674a5ce9fc9d80f924a196ffb7471f550fd79f2e49356b7e4e76cb5,5810,5341,430,37,2,0,5009,35,764,619,81.02,13.15,92.52,91.9,5294,91.1,5810,5341,430,37,2,285,242,84.9,52,29,55.8,0,0,0.0,333,323,97.0,83,15,18.1
agenttesla,03f51ffa9c987630724a451ad872f52bf97bd257ad06b58b6194f5dec29c8f13,7500,6043,1366,68,23,0,2463,61,4969,3590,72.25,66.25,81.31,80.6,5971,79.6,7500,6043,1366,68,23,633,558,88.2,993,466,46.9,4,4,100.0,2669,2447,91.7,589,48,8.1
agenttesla,069c1a556943461282bfbf8411afc6213a359df9ce4894a80881e45a2ba9bc84,11490,8209,3197,64,20,0,2956,59,8470,5508,65.03,73.72,71.84,71.4,8394,73.1,11490,8209,3197,64,20,1415,707,50.0,3052,1702,55.8,0,0,0.0,3244,2917,89.9,665,105,15.8
agenttesla,0a50e4e96fe3948c570214cd5dcdf34b3a2625742eaf15ebdde41d0cd75dea61,7353,5942,1353,42,16,0,2459,39,4852,3609,74.38,65.99,81.27,80.8,5771,78.5,7353,5942,1353,42,16,763,672,88.1,826,455,55.1,0,0,0.0,2670,2375,89.0,519,47,9.1
agenttesla,0b4d7a81cb8f89e34562cd756540d3dd62176c0fa829d7dba9db2c727b92aef0,7497,5925,1506,44,22,0,2417,40,5036,3619,71.86,67.17,79.5,79.0,5846,78.0,7497,5925,1506,44,22,768,673,87.6,1002,476,47.5,0,0,0.0,2653,2356,88.8,525,47,9.0
agenttesla,0f3ded82d31dc7e7692d4b70fa848ec00780412a2a94636ee7084bdfb1e0859a,3988,2995,928,44,21,0,1455,41,2489,1549,62.23,62.41,75.94,75.1,2949,73.9,3988,2995,928,44,21,259,184,71.0,748,418,55.9,0,0,0.0,871,836,96.0,528,45,8.5
agenttesla,104ef2e1223676a6d315da9de43b53286de58d5a390cb6d8c0ef391e7ee23a86,7019,5620,1336,45,18,0,2262,42,4712,3543,75.19,67.13,80.59,80.1,5429,77.3,7019,5620,1336,45,18,743,670,90.2,827,456,55.1,0,0,0.0,2585,2299,88.9,478,52,10.9
agenttesla,109ef5c322e2f5b9624f14914d4e4db3cd2ee7883f9c718c913616eb69277091,11242,10259,926,40,17,0,5860,37,5342,4409,82.53,47.52,91.58,91.3,10220,90.9,11242,10259,926,40,17,254,182,71.7,747,417,55.8,0,0,0.0,3718,3685,99.1,536,56,10.4
agenttesla,11cbc233ef5187f59c9a0e314bb8a9ac4d0a1d4c54cee653b1feaa386fb27cd6,9127,6784,2261,64,18,0,3055,59,6008,3948,65.71,65.83,74.85,74.3,6721,73.6,9127,6784,2261,64,18,589,448,76.1,2841,1644,57.9,0,0,0.0,1872,1722,92.0,609,56,9.2
agenttesla,12384caecb7a336ae37a29e642488b5cc45559c321dad21c4c8fa7868a2ce859,7049,5634,1355,43,17,0,2146,40,4860,3611,74.3,68.95,80.42,79.9,5466,77.5,7049,5634,1355,43,17,761,663,87.1,826,455,55.1,0,0,0.0,2674,2380,89.0,519,48,9.2
agenttesla,14a69b15aa430be2251215742e97972393b529833bdf771c0a4ca67b63bd999a,11167,7211,3852,78,26,0,4833,73,6256,2417,38.63,56.02,65.03,64.6,8418,75.4,11167,7211,3852,78,26,459,363,79.1,3301,265,8.0,0,0,0.0,1692,1620,95.7,678,64,9.4
agenttesla,167aef05154cd6d6aee1e044770d579f5fe29433cf451bb1b7afb8054f214fd5,8492,7106,1327,43,16,0,3000,39,5449,4226,77.56,64.17,84.1,83.7,6935,81.7,8492,7106,1327,43,16,753,665,88.3,820,451,55.0,0,0,0.0,3291,2996,91.0,504,47,9.3
agenttesla,18463a1b8830da861b3a7ce1926abf1c4cf77663b3b8722103a21dfa097f08e8,1339,946,350,41,2,0,378,38,920,692,75.22,68.71,72.88,70.6,928,69.3,1339,946,350,41,2,412,354,85.9,49,28,57.1,0,0,0.0,369,283,76.7,81,19,23.5
agenttesla,21afd28ee430548fc6e79700fee08f4c4a22e4d22fb12ad0bcc72f4df6f25540,7250,5478,1711,43,18,0,2217,40,4990,3388,67.9,68.83,76.01,75.6,5516,76.1,7250,5478,1711,43,18,755,665,88.1,989,244,24.7,0,0,0.0,2653,2365,89.1,513,47,9.2
agenttesla,24c43375fb726dbf16803dd6289d64984d9de0ed10f6bcc84e3f67b8a52c6904,12440,8181,4164,70,25,0,3550,62,8820,4737,53.71,70.9,66.14,65.8,9249,74.3,12440,8181,4164,70,25,943,820,87.0,3235,260,8.0,0,0,0.0,3848,3507,91.1,679,54,8.0
agenttesla,251982ac02a87c546ef1872b1beae28856af968d01bc0783f1034cdd73bba752,6669,3776,1840,96,18,939,1692,93,3942,2422,61.44,59.11,57.45,56.6,4250,63.7,5730,3776,1840,96,18,848,469,55.3,1450,618,42.6,7,7,100.0,1694,1222,72.1,653,53,8.1
agenttesla,2c2dd8836392bcec5f9326faf7c7f222cd2e5ca5538e8f147122f7d405b489d8,4754,3447,1243,41,23,0,2089,39,2624,1477,56.29,55.2,73.14,72.5,3499,73.6,4754,3447,1243,41,23,274,177,64.6,902,417,46.2,0,0,0.0,787,756,96.1,570,56,9.8
agenttesla,32abb7f0c67327f53e15d72bdcfe4697cfd27da618a0d81a00a81491372a8392,8720,7339,1311,48,22,0,3084,42,5588,4372,78.24,64.08,84.63,84.2,7168,82.2,8720,7339,1311,48,22,749,659,88.0,820,451,55.0,0,0,0.0,3421,3135,91.6,502,47,9.4
agenttesla,34bfed7f2450542d851b696685ed0a43438683a54f1756a947119d7258a4adb1,6743,5376,1302,47,18,0,2028,43,4668,3355,71.87,69.23,80.29,79.7,5298,78.6,6743,5376,1302,47,18,627,554,88.4,989,465,47.0,0,0,0.0,2453,2232,91.0,526,44,8.4
agenttesla,379ccf754b70aa15e6d95ce3ff7076eea655b6c833033c3a95e8c6108f3c0f59,11986,9259,2643,67,17,0,3649,61,8270,5715,69.11,69.0,77.68,77.2,9177,76.6,11986,9259,2643,67,17,950,829,87.3,3214,1726,53.7,0,0,0.0,3372,3035,90.0,641,53,8.3
agenttesla,38a9f881eb28d8f75c2c21a9cb4de15e472866346c747c480e8e6ec485982067,6428,5047,1324,41,16,0,1995,39,4392,3063,69.74,68.33,79.02,78.5,5000,77.8,6428,5047,1324,41,16,619,551,89.0,826,247,29.9,0,0,0.0,2374,2164,91.2,501,43,8.6
agenttesla,397046da411436841b9eee2f3edc21f72ba89f0165a29e1fef0cafa6755fcdb0,7420,5864,1494,43,19,0,2393,40,4984,3590,72.03,67.17,79.49,79.0,5784,78.0,7420,5864,1494,43,19,762,686,90.0,1002,476,47.5,0,0,0.0,2612,2319,88.8,531,47,8.9
agenttesla,3aba02f8b1e468adf8164eb3932c56bf1082cad0f3c94a9b315e51ced8526669,12664,9848,2723,71,22,0,3940,63,8653,6008,69.43,68.33,78.2,77.8,9770,77.1,12664,9848,2723,71,22,952,829,87.1,3222,1730,53.7,0,0,0.0,3640,3302,90.7,728,56,7.7
agenttesla,3ac423ef931fe5fb91a9a24bb29536dafa1c9c6e75a496f80ede94ef7a7315c8,4126,2941,1117,47,21,0,1563,42,2516,1558,61.92,60.98,72.1,71.3,2903,70.4,4126,2941,1117,47,21,261,181,69.3,747,417,55.8,0,0,0.0,844,812,96.2,551,55,10.0
agenttesla,3bcc7e2a22fd283ad188e24bd4dd4cc6180f2fc907de59cc3c952b89507bfed0,3927,2931,926,47,23,0,1391,42,2489,1545,62.07,63.38,75.54,74.6,2888,73.5,3927,2931,926,47,23,266,190,71.4,751,420,55.9,0,0,0.0,857,820,95.7,528,45,8.5
agenttesla,43b5cfd70c439d116d7ec6381d664d5c8e7f89f84eb4186675db11bf830ebabb,6902,5645,1193,46,18,0,2033,42,4823,3619,75.04,69.88,82.34,81.8,5486,79.5,6902,5645,1193,46,18,688,609,88.5,868,479,55.2,0,0,0.0,2611,2390,91.5,549,48,8.7
agenttesla,43ce74b24e828ba294f7247f66878e92d965555ffc05a06299e2e4938bae5ccc,61039,59139,1786,93,21,0,23025,87,37921,36522,96.31,62.13,97.04,96.9,58945,96.6,61039,59139,1786,93,21,1050,961,91.5,990,522,52.7,0,0,0.0,30513,30219,99.0,578,58,10.0
agenttesla,4764e72be01dff161ce0a248e78c76787c80e739267b687b922f0e422852b7ba,6605,5465,1080,41,19,0,2131,39,4433,3344,75.43,67.12,83.26,82.7,5287,80.0,6605,5465,1080,41,19,620,542,87.4,823,453,55.0,0,0,0.0,2458,2242,91.2,455,43,9.5
agenttesla,4afc813a3653c61125093a1be3af978e112cdb889971d44810cb1b1b52a5dfb1,11860,9180,2602,61,17,0,3669,57,8130,5724,70.41,68.55,77.8,77.4,9014,76.0,11860,9180,2602,61,17,942,798,84.7,3062,1729,56.5,0,0,0.0,3385,3055,90.3,636,56,8.8
agenttesla,4b9f0cd6e0662d7ae5100f518f3d82a1d0ead105247e12bd375c21680c59198c,4805,3508,1227,51,19,0,1806,47,2948,1711,58.04,61.35,73.79,73.0,3573,74.4,4805,3508,1227,51,19,266,187,70.3,1154,575,49.8,0,0,0.0,845,812,96.1,587,59,10.1
agenttesla,4dfe22e7fe8228f2c9111088b882a2dea5c4e80ee0b1596f7a3447b22a6cf5a2,5945,3418,1744,60,43,680,1447,57,3758,2158,57.42,63.21,58.08,57.5,3898,65.6,5265,3418,1744,60,43,706,341,48.3,1458,627,43.0,7,7,100.0,1304,1011,77.5,723,103,14.2
