family,rank,api_name,total_calls
agenttesla,1,NtClose,83344
agenttesla,2,LdrGetProcedureAddressForCaller,40393
agenttesla,3,NtQueryValueKey,38681
agenttesla,4,NtOpenKeyEx,33855
agenttesla,5,NtAllocateVirtualMemory,32868
agenttesla,6,RtlSetCurrentTransaction,32614
agenttesla,7,GetProcessHeap,32110
agenttesla,8,NtQueryInformationToken,25402
agenttesla,9,NtQueryInformationThread,25205
agenttesla,10,VirtualAlloc,24593
amadey,1,NtClose,222178
amadey,2,NtQueryInformationThread,142693
amadey,3,NtQueryKey,108159
amadey,4,RtlSetCurrentTransaction,105572
amadey,5,NtOpenKeyEx,99244
amadey,6,PathCchCombineEx,67755
amadey,7,NtQueryValueKey,62746
amadey,8,NtQueryInformationToken,42147
amadey,9,PostMessageW,30825
amadey,10,SystemParametersInfoW,28227
berbew,1,GetProcessHeap,10300
berbew,2,NtClose,5401
berbew,3,LdrGetDllHandle,601
berbew,4,LdrGetProcedureAddressForCaller,503
berbew,5,NtCreateFile,500
berbew,6,NtTestAlert,498
berbew,7,CloseHandle,400
berbew,8,LdrLoadDll,300
berbew,9,RegCreateKeyExA,300
berbew,10,RegSetValueExA,300
dacic,1,LdrGetProcedureAddressForCaller,10832
dacic,2,NtProtectVirtualMemory,10107
dacic,3,NtAllocateVirtualMemory,8713
dacic,4,NtWaitForSingleObject,7047
dacic,5,GetProcessHeap,6908
dacic,6,NtClose,6470
dacic,7,VirtualAlloc,6127
dacic,8,VarBstrCat,5733
dacic,9,NtFreeVirtualMemory,5657
dacic,10,GetUserDefaultLCID,5603
redline,1,LdrGetProcedureAddressForCaller,8366
redline,2,NtClose,2997
redline,3,NtWriteFile,2742
redline,4,FindResourceExA,2639
redline,5,NtCreateFile,1607
redline,6,SizeofResource,1477
redline,7,NtProtectVirtualMemory,1339
redline,8,LoadResource,1194
redline,9,LockResource,1194
redline,10,GetProcessHeap,1152
