sample_id,family,l1_total,l1_success,l1_brr,handle_dep,env_diff,data_gap,true_failure,handle_dep_rate,env_diff_rate,data_gap_rate,true_failure_rate,projected_l1_brr
0113a0681674a5ce9fc9d80f924a196ffb7471f550fd79f2e49356b7e4e76cb5,agenttesla,764,619,81.02,2,0,0,143,0.26,0.0,0.0,18.72,81.28
03f51ffa9c987630724a451ad872f52bf97bd257ad06b58b6194f5dec29c8f13,agenttesla,4969,3590,72.25,23,0,0,1356,0.46,0.0,0.0,27.29,72.71
069c1a556943461282bfbf8411afc6213a359df9ce4894a80881e45a2ba9bc84,agenttesla,8470,5508,65.03,20,0,0,2942,0.24,0.0,0.0,34.73,65.27
0a50e4e96fe3948c570214cd5dcdf34b3a2625742eaf15ebdde41d0cd75dea61,agenttesla,4852,3609,74.38,16,0,0,1227,0.33,0.0,0.0,25.29,74.71
0b4d7a81cb8f89e34562cd756540d3dd62176c0fa829d7dba9db2c727b92aef0,agenttesla,5036,3619,71.86,22,0,0,1395,0.44,0.0,0.0,27.7,72.3
0f3ded82d31dc7e7692d4b70fa848ec00780412a2a94636ee7084bdfb1e0859a,agenttesla,2489,1549,62.23,21,0,0,919,0.84,0.0,0.0,36.92,63.08
104ef2e1223676a6d315da9de43b53286de58d5a390cb6d8c0ef391e7ee23a86,agenttesla,4712,3543,75.19,18,0,0,1151,0.38,0.0,0.0,24.43,75.57
109ef5c322e2f5b9624f14914d4e4db3cd2ee7883f9c718c913616eb69277091,agenttesla,5342,4409,82.53,17,0,0,916,0.32,0.0,0.0,17.15,82.85
11cbc233ef5187f59c9a0e314bb8a9ac4d0a1d4c54cee653b1feaa386fb27cd6,agenttesla,6008,3948,65.71,18,0,0,2042,0.3,0.0,0.0,33.99,66.01
12384caecb7a336ae37a29e642488b5cc45559c321dad21c4c8fa7868a2ce859,agenttesla,4860,3611,74.3,17,0,0,1232,0.35,0.0,0.0,25.35,74.65
14a69b15aa430be2251215742e97972393b529833bdf771c0a4ca67b63bd999a,agenttesla,6256,2417,38.63,26,0,0,3813,0.42,0.0,0.0,60.95,39.05
167aef05154cd6d6aee1e044770d579f5fe29433cf451bb1b7afb8054f214fd5,agenttesla,5449,4226,77.56,16,0,0,1207,0.29,0.0,0.0,22.15,77.85
18463a1b8830da861b3a7ce1926abf1c4cf77663b3b8722103a21dfa097f08e8,agenttesla,920,692,75.22,2,0,0,226,0.22,0.0,0.0,24.57,75.43
21afd28ee430548fc6e79700fee08f4c4a22e4d22fb12ad0bcc72f4df6f25540,agenttesla,4990,3388,67.9,18,0,0,1584,0.36,0.0,0.0,31.74,68.26
24c43375fb726dbf16803dd6289d64984d9de0ed10f6bcc84e3f67b8a52c6904,agenttesla,8820,4737,53.71,25,0,0,4058,0.28,0.0,0.0,46.01,53.99
251982ac02a87c546ef1872b1beae28856af968d01bc0783f1034cdd73bba752,agenttesla,3942,2422,61.44,18,0,0,1502,0.46,0.0,0.0,38.1,61.9
2c2dd8836392bcec5f9326faf7c7f222cd2e5ca5538e8f147122f7d405b489d8,agenttesla,2624,1477,56.29,23,0,0,1124,0.88,0.0,0.0,42.84,57.16
32abb7f0c67327f53e15d72bdcfe4697cfd27da618a0d81a00a81491372a8392,agenttesla,5588,4372,78.24,22,0,0,1194,0.39,0.0,0.0,21.37,78.63
34bfed7f2450542d851b696685ed0a43438683a54f1756a947119d7258a4adb1,agenttesla,4668,3355,71.87,18,0,0,1295,0.39,0.0,0.0,27.74,72.26
379ccf754b70aa15e6d95ce3ff7076eea655b6c833033c3a95e8c6108f3c0f59,agenttesla,8270,5715,69.11,17,0,0,2538,0.21,0.0,0.0,30.69,69.31
38a9f881eb28d8f75c2c21a9cb4de15e472866346c747c480e8e6ec485982067,agenttesla,4392,3063,69.74,16,0,0,1313,0.36,0.0,0.0,29.9,70.1
397046da411436841b9eee2f3edc21f72ba89f0165a29e1fef0cafa6755fcdb0,agenttesla,4984,3590,72.03,19,0,0,1375,0.38,0.0,0.0,27.59,72.41
