sample_id,family,event_id,count_raw,count_corrected,transforms_applied
21660b1afc287fa8ec9a0fb43ed3b1722dfd205018996e7ccecb254f665f8aae,redline,1,1,0,0
21660b1afc287fa8ec9a0fb43ed3b1722dfd205018996e7ccecb254f665f8aae,redline,11,15,7,20
21660b1afc287fa8ec9a0fb43ed3b1722dfd205018996e7ccecb254f665f8aae,redline,12,45,0,20
21660b1afc287fa8ec9a0fb43ed3b1722dfd205018996e7ccecb254f665f8aae,redline,13,1,0,20
21660b1afc287fa8ec9a0fb43ed3b1722dfd205018996e7ccecb254f665f8aae,redline,23,13,13,20
0d28e85e7e0ececbee2eef6565476ea9438a47b0d47766ae0497c137b821d787,redline,1,1,0,0
0d28e85e7e0ececbee2eef6565476ea9438a47b0d47766ae0497c137b821d787,redline,11,16,8,40
0d28e85e7e0ececbee2eef6565476ea9438a47b0d47766ae0497c137b821d787,redline,12,55,0,40
0d28e85e7e0ececbee2eef6565476ea9438a47b0d47766ae0497c137b821d787,redline,13,1,0,40
0d28e85e7e0ececbee2eef6565476ea9438a47b0d47766ae0497c137b821d787,redline,23,32,32,40
88739c7706fab480d0a3aaa62fe1518b7d6c40df7dd24ea00bed06cf263e5bd7,redline,1,1,0,0
88739c7706fab480d0a3aaa62fe1518b7d6c40df7dd24ea00bed06cf263e5bd7,redline,11,16,8,29
88739c7706fab480d0a3aaa62fe1518b7d6c40df7dd24ea00bed06cf263e5bd7,redline,12,55,0,29
88739c7706fab480d0a3aaa62fe1518b7d6c40df7dd24ea00bed06cf263e5bd7,redline,13,1,0,29
88739c7706fab480d0a3aaa62fe1518b7d6c40df7dd24ea00bed06cf263e5bd7,redline,23,21,21,29
d8b5a3960f5aef160acf99aa6e004c428bc67265c7e559b2955d81b050f367c5,redline,1,1,0,0
d8b5a3960f5aef160acf99aa6e004c428bc67265c7e559b2955d81b050f367c5,redline,11,16,8,59
d8b5a3960f5aef160acf99aa6e004c428bc67265c7e559b2955d81b050f367c5,redline,12,55,0,59
d8b5a3960f5aef160acf99aa6e004c428bc67265c7e559b2955d81b050f367c5,redline,13,1,0,59
d8b5a3960f5aef160acf99aa6e004c428bc67265c7e559b2955d81b050f367c5,redline,23,51,51,59
8bfbeb1d5af206f22e7cebfbf339c77962c1c48535035b27ad1e5fc1062489aa,redline,1,1,0,0
8bfbeb1d5af206f22e7cebfbf339c77962c1c48535035b27ad1e5fc1062489aa,redline,11,15,7,26
8bfbeb1d5af206f22e7cebfbf339c77962c1c48535035b27ad1e5fc1062489aa,redline,12,45,0,26
8bfbeb1d5af206f22e7cebfbf339c77962c1c48535035b27ad1e5fc1062489aa,redline,13,1,0,26
8bfbeb1d5af206f22e7cebfbf339c77962c1c48535035b27ad1e5fc1062489aa,redline,23,19,19,26
1551371a8c26e90e3ce229fd4f68351373e6bafcd7cfbe51e4892605bda772d0,redline,1,1,0,0
1551371a8c26e90e3ce229fd4f68351373e6bafcd7cfbe51e4892605bda772d0,redline,11,23,8,8
1551371a8c26e90e3ce229fd4f68351373e6bafcd7cfbe51e4892605bda772d0,redline,12,16,0,8
e42ad0e70feca06dc6ef1b8f01c86c3e9d594a879af18ee6519b90092b240412,redline,1,1,0,0
e42ad0e70feca06dc6ef1b8f01c86c3e9d594a879af18ee6519b90092b240412,redline,11,16,8,59
e42ad0e70feca06dc6ef1b8f01c86c3e9d594a879af18ee6519b90092b240412,redline,12,55,0,59
e42ad0e70feca06dc6ef1b8f01c86c3e9d594a879af18ee6519b90092b240412,redline,13,1,0,59
e42ad0e70feca06dc6ef1b8f01c86c3e9d594a879af18ee6519b90092b240412,redline,23,51,51,59
af1f2b1886a7d3cbec3258cc7d409cfdfa12dc98f342b40bb292dd2db423be71,redline,1,1,0,0
af1f2b1886a7d3cbec3258cc7d409cfdfa12dc98f342b40bb292dd2db423be71,redline,11,15,7,22
af1f2b1886a7d3cbec3258cc7d409cfdfa12dc98f342b40bb292dd2db423be71,redline,12,45,0,22
af1f2b1886a7d3cbec3258cc7d409cfdfa12dc98f342b40bb292dd2db423be71,redline,13,1,0,22
af1f2b1886a7d3cbec3258cc7d409cfdfa12dc98f342b40bb292dd2db423be71,redline,23,15,15,22
747ecb7296b0de86e990ff1e83fecc85079e078cf214c778bd2a30be60edfd8e,redline,1,1,0,0
747ecb7296b0de86e990ff1e83fecc85079e078cf214c778bd2a30be60edfd8e,redline,11,27,10,10
747ecb7296b0de86e990ff1e83fecc85079e078cf214c778bd2a30be60edfd8e,redline,12,2,0,10
cf4fa9c480473d3419eb68f584d29de06dab99400ecfd2557100617ab7490c1d,redline,1,1,0,0
cf4fa9c480473d3419eb68f584d29de06dab99400ecfd2557100617ab7490c1d,redline,11,16,8,32
