family,stem,reg_via_transforms,reg_via_regex,file_via_transforms,file_no_match
redline,21660b1afc287fa8ec9a0fb43ed3b1722dfd205018996e7ccecb254f665f8aae,0,38,20,8
redline,0d28e85e7e0ececbee2eef6565476ea9438a47b0d47766ae0497c137b821d787,0,46,40,8
redline,88739c7706fab480d0a3aaa62fe1518b7d6c40df7dd24ea00bed06cf263e5bd7,0,46,29,8
redline,d8b5a3960f5aef160acf99aa6e004c428bc67265c7e559b2955d81b050f367c5,0,46,59,8
redline,8bfbeb1d5af206f22e7cebfbf339c77962c1c48535035b27ad1e5fc1062489aa,0,38,26,8
redline,1551371a8c26e90e3ce229fd4f68351373e6bafcd7cfbe51e4892605bda772d0,0,12,8,15
redline,e42ad0e70feca06dc6ef1b8f01c86c3e9d594a879af18ee6519b90092b240412,0,46,59,8
redline,af1f2b1886a7d3cbec3258cc7d409cfdfa12dc98f342b40bb292dd2db423be71,0,38,22,8
redline,747ecb7296b0de86e990ff1e83fecc85079e078cf214c778bd2a30be60edfd8e,0,0,10,17
redline,cf4fa9c480473d3419eb68f584d29de06dab99400ecfd2557100617ab7490c1d,0,46,32,8
redline,06a0d2d406cbec6caafff9c6535f9753f5619ad636bc2af06d8b8a55c63e10df,0,38,17,8
redline,f0caa5f0ebfec42a5dfcb413e807494783cba4ef35bc8497ba8aae25cc3dedcc,0,46,59,8
redline,9b4109bdca72c95b887b10d90e4162e50786fe38856f0133f2fddad35c15bcf5,0,46,32,8
redline,4d5dcb125af799aff872379946f3a7e2a2385fee1742229be66af19eeacee6c2,0,46,32,8
redline,8595a17bb8d9bd23576c0835dea9c1bb30d9db94a89f0c7c7927a7f98998c123,0,46,40,8
redline,cf3230c67aeff72f9430821fac171222d1228921c6b07116d8fc14a976fd7d55,0,46,28,8
redline,559aada01f84fe0dc8011fdb8325246ae1468b7286c4bcab518d95f5236a18dc,0,46,31,8
redline,d4727dba9a619e5039e2f3af4625f32335c28b309881359e6fe61af9c1240809,0,46,32,8
redline,da8fcde10abb4d4a5fcf819e839811667795a72a48b07dad24d68f92eca2991e,0,46,28,8
redline,1c4d996df3ed84f4460ed56e65670bdd09d1d4c4daaf3a03ab7336e63a649534,0,38,30,8
agenttesla,3bcc7e2a22fd283ad188e24bd4dd4cc6180f2fc907de59cc3c952b89507bfed0,0,678,43,34
agenttesla,b483fa2b04ee2305e50ec070450c43c4feef6d98a30f01aa1f003f11ffad2aa4,0,670,180,43
agenttesla,a01885eaecb0c9f8f63f0cd8d935e374f339c0e42f392885ab765f2b78977a2b,0,3087,70,42
agenttesla,34bfed7f2450542d851b696685ed0a43438683a54f1756a947119d7258a4adb1,0,428,172,31
agenttesla,14a69b15aa430be2251215742e97972393b529833bdf771c0a4ca67b63bd999a,0,3064,73,48
agenttesla,e77034ca0f5612915367f7d97ba20d7452594622ce20078eee74df276173ef47,0,2051,206,41
agenttesla,97289b7b81716c422ed44dc42d80db0ba56989bff3a879d31a28b935686475bf,0,654,179,43
agenttesla,4b9f0cd6e0662d7ae5100f518f3d82a1d0ead105247e12bd375c21680c59198c,0,946,41,29
agenttesla,38a9f881eb28d8f75c2c21a9cb4de15e472866346c747c480e8e6ec485982067,0,419,171,33
agenttesla,e33e4865fd5388cb8d3b67d1919d3ec2ee596463012327798fed93a2a282e4bb,0,655,179,43
agenttesla,a2e1d3ac58e834c9a692b6d4637a1663e54fcef7c876ba31401ba1aa76d0df22,0,3054,74,48
agenttesla,65ad076012248dc504abe8812d6b4d2128a0aa7c3de0857a0c836e6e33497347,0,673,37,32
agenttesla,f15efc199baae5de89401024d42aa136fe03c1cfbea1c8eba689a5e832d83289,0,669,172,31
agenttesla,693c258cb5620f7e8714d4afc7215e2c7dc16872265148341db23b639906eecb,0,677,36,32
agenttesla,5c9e41c57fc02e8a6832d92888f838a455e75ce93c833f2b730376a11f0040e9,0,925,38,28
